988704,0.5578,0.287,0.663,0.4675,0.5919,-36.8886,25.5738
988804,0.5585,0.286,0.663,0.4666,1.0019,-37.2089,25.6303
988904,0.5599,0.2861,0.6631,0.4669,1.3384,-38.122,25.3043
989004,0.5574,0.2875,0.6634,0.4654,2.0674,-39.4303,25.321
989104,0.556,0.2888,0.6643,0.4665,2.4129,-40.8282,25.3148
989204,0.5515,0.2889,0.6615,0.4665,2.1024,-41.7902,25.7353
989304,0.5578,0.2895,0.6613,0.4674,2.995,-42.5689,24.8421
989404,0.5551,0.29,0.6626,0.4679,2.2279,-43.7889,24.8055
989504,0.5516,0.2906,0.6631,0.4668,3.4144,-43.2978,23.5183
989604,0.558,0.2885,0.6633,0.4655,2.7469,-44.2071,23.7029
989704,0.5589,0.2895,0.6644,0.4664,3.5708,-44.8301,22.3559
989804,0.5565,0.2901,0.6645,0.4679,2.5455,-45.9094,22.9368
989904,0.5635,0.291,0.6649,0.4696,1.7261,-46.5923,23.6732
990004,0.5644,0.2898,0.6628,0.4679,3.6027,-46.6852,22.6791
990104,0.5638,0.2889,0.6623,0.4666,2.2035,-45.7218,23.917
990204,0.5774,0.2886,0.6623,0.4645,3.808,-46.0247,22.7769
990304,0.5851,0.2888,0.6629,0.4639,5.7365,-46.333,21.2692
990404,0.5854,0.2888,0.6633,0.4648,7.3937,-45.1301,20.2727
990504,0.598,0.289,0.6638,0.4654,9.1981,-44.6643,19.3619
990604,0.5991,0.2901,0.6641,0.4648,10.7353,-43.7848,18.8499
990704,0.5993,0.2901,0.664,0.4639,9.6862,-44.3539,19.9548
990804,0.5365,0.2911,0.6649,0.4694,9.259,-46.1353,20.5692
990904,0.4659,0.2915,0.6655,0.4694,9.5776,-47.5041,20.8549
991004,0.4493,0.2945,0.6636,0.4709,9.3772,-45.8668,21.7971
991104,0.4869,0.2919,0.6639,0.4688,8.9413,-45.0051,22.4532
991204,0.4608,0.2918,0.6654,0.4739,8.4145,-47.0921,22.8486
991304,0.3616,0.2924,0.6631,0.472,8.6754,-49.7437,22.2508
991404,0.384,0.293,0.6603,0.4698,7.1747,-49.7999,23.259
991504,0.4145,0.2934,0.6614,0.4719,8.1037,-49.0273,22.6171
991604,0.4535,0.2926,0.6611,0.4734,5.8277,-48.5044,24.6534
991704,0.4983,0.292,0.6596,0.4704,3.7668,-48.1194,26.4372
991804,0.5283,0.2896,0.6548,0.4673,2.8236,-45.7761,27.4138
991904,0.5054,0.2894,0.6519,0.4626,1.5454,-45.0881,28.6203
992004,0.5258,0.2903,0.65,0.4575,3.1997,-45.6341,27.4317
992104,0.5274,0.2916,0.6499,0.4594,5.3558,-45.8583,25.3768
992204,0.4561,0.2924,0.6508,0.4675,6.9817,-46.3903,23.7155
992304,0.4143,0.2931,0.6524,0.4721,7.5523,-47.3681,22.8581
992404,0.4213,0.2945,0.6531,0.4719,8.2872,-48.5062,21.9908
992504,0.448,0.2954,0.6538,0.4675,9.4526,-48.9584,21.0497
992604,0.4841,0.2961,0.6545,0.4655,9.5462,-49.4667,21.0217
992704,0.5096,0.2965,0.656,0.4654,9.362,-48.4583,21.1715
992804,0.5268,0.2958,0.654,0.4678,9.5058,-47.1544,21.4001
992904,0.5331,0.2961,0.6566,0.4694,9.3696,-45.53,21.5778
993004,0.5353,0.2961,0.658,0.4699,9.5478,-44.486,21.535
993104,0.5628,0.2963,0.6568,0.4643,8.5791,-44.5261,22.46
993204,0.661,0.296,0.6441,0.5055,8.7604,-42.1161,22.9045
993304,0.6665,0.2915,0.6383,0.524,9.1003,-42.944,22.7527
993404,0.652,0.2923,0.6396,0.5328,9.3049,-44.0055,22.0304
993504,0.647,0.2938,0.6413,0.5341,9.6812,-45.1341,21.1024
